priority,assessment_name,assessment_full_name,assessment_regex
1,PHQ-9 Total,Patient Health Questionnaire-9 Total,"PHQ.?9.*total|patient health questionnaire.?9.*total"
1,PHQ-2 Total,Patient Health Questionnaire-2 Total,"PHQ.?2.*total|patient health questionnaire.?2.*total"
1,BPRS-E,Brief Psychiatric Rating Scale - Expanded,"BPRS.?E|brief psychiatric rating scale.?expanded"
1,BPRS-C,Brief Psychiatric Rating Scale - Children,"BPRS.?C|brief psychiatric rating scale.?child"
1,AUDIT-C,Alcohol Use Disorders Identification Test - Consumption,"AUDIT.?C|alcohol use disorders? identification test.?consumption"
2,GAD-7,Generalized Anxiety Disorder-7,"GAD.?7|generalized anxiety disorder.?7"
2,PHQ-9,Patient Health Questionnaire-9,"PHQ.?9|patient health questionnaire.?9"
2,PHQ-2,Patient Health Questionnaire-2,"PHQ.?2|patient health questionnaire.?2"
2,PC-PTSD-5,Primary Care PTSD Screen for DSM-5,"PC.?PTSD.?5|primary care ptsd screen"
2,MiniCog,Mini-Cog,mini.?cog
2,QIDS,Quick Inventory of Depressive Symptomatology,"\yQIDS\y|quick inventory of depressive symptomatology"
2,AIMS,Abnormal Involuntary Movement Scale,"\yAIMS\y|abnormal involuntary movement"
2,PSS-3,Patient Safety Screener-3,"PSS.?3|patient safety screener"
2,MMSE,Mini-Mental State Examination,"\yMMSE\y|mini.?mental.?stat"
2,C-SSRS,Columbia Suicide Severity Rating Scale,"C.?SSRS|columbia.*suicid"
2,ESS,Epworth Sleepiness Scale,"\yESS\y.*sleep|epworth.*sleepiness"
2,PCL-5,PTSD Checklist for DSM-5,"PCL.?5|ptsd checklist.?5|ptsd checklist.*dsm.?5"
2,MOCA,Montreal Cognitive Assessment,"\yMOCA\y|montreal.*cognitive"
2,MSE,Mental Status Examination,"\yMSE\y.*mental|mental.?status.?exam"
2,ANSA,Adult Needs and Strengths Assessment,"\yANSA\y|adult needs.*strength"
2,BASIS-24,Behavior and Symptom Identification Scale-24,"BASIS.?24|behavior and symptom identification scale"
2,PSQ,Patient Satisfaction Questionnaire,"\yPSQ\y|patient satisfaction questionnaire"
2,PSE-17,Present State Examination-17,"PSE.?17|present state examination"
2,EPDS,Edinburgh Postnatal Depression Scale,"\yEPDS\y|edinburgh.*(postnatal|postpartum).*depression"
2,CES-D,Center for Epidemiologic Studies Depression Scale,"CES.?D|center for epidemiologic.*studies.*depression"
2,DASS-21,Depression Anxiety Stress Scales-21,"DASS.?21|depression anxiety stress scale"
2,PANSS,Positive and Negative Syndrome Scale,"\yPANSS\y|positive and negative syndrome scale"
2,Pain,Pain Scale,"pain.*(scale|score|rating|intensity)|numeric.*pain|visual.*analo.*pain|brief pain inv|wong.?baker"
3,BPRS,Brief Psychiatric Rating Scale,"\yBPRS\y|brief psychiatric rating scale"
