assessment_name,question_label,assessment_regex,question_regex
PHQ-9,Total Score,PHQ.?9,"total|sum|overall|composite"
PHQ-9,Q1: Little interest or pleasure,PHQ.?9,"little interest|pleasure|anhedonia|Q.?1\y|item.?1\y|question.?1\y"
PHQ-9,Q2: Feeling down/depressed/hopeless,PHQ.?9,"feeling down|depressed|hopeless|Q.?2\y|item.?2\y|question.?2\y"
PHQ-9,Q3: Trouble sleeping,PHQ.?9,"sleep|insomnia|Q.?3\y|item.?3\y|question.?3\y"
PHQ-9,Q4: Feeling tired/little energy,PHQ.?9,"tired|energy|fatigue|Q.?4\y|item.?4\y|question.?4\y"
PHQ-9,Q5: Poor appetite or overeating,PHQ.?9,"appetite|overeating|Q.?5\y|item.?5\y|question.?5\y"
PHQ-9,Q6: Feeling bad about yourself,PHQ.?9,"feeling bad|failure|let.*down|self.?worth|Q.?6\y|item.?6\y|question.?6\y"
PHQ-9,Q7: Trouble concentrating,PHQ.?9,"concentrat|newspaper|television|Q.?7\y|item.?7\y|question.?7\y"
PHQ-9,Q8: Psychomotor changes,PHQ.?9,"moving.*slowly|speaking.*slowly|fidgety|restless|psychomotor|Q.?8\y|item.?8\y|question.?8\y"
PHQ-9,Q9: Thoughts of self-harm/death,PHQ.?9,"better off dead|hurting yourself|self.?harm|suicid|Q.?9\y|item.?9\y|question.?9\y"
PHQ-2,Total Score,PHQ.?2,"total|sum|overall|composite"
PHQ-2,Q1: Little interest or pleasure,PHQ.?2,"little interest|pleasure|anhedonia|Q.?1\y|item.?1\y|question.?1\y"
PHQ-2,Q2: Feeling down/depressed/hopeless,PHQ.?2,"feeling down|depressed|hopeless|Q.?2\y|item.?2\y|question.?2\y"
GAD-7,Total Score,GAD.?7,"total|sum|overall|composite"
GAD-7,Q1: Feeling nervous/anxious/on edge,GAD.?7,"nervous|anxious|on edge|Q.?1\y|item.?1\y|question.?1\y"
GAD-7,Q2: Cannot stop or control worrying,GAD.?7,"stop.*worry|control.*worry|Q.?2\y|item.?2\y|question.?2\y"
GAD-7,Q3: Worrying too much,GAD.?7,"worrying too much|different things|Q.?3\y|item.?3\y|question.?3\y"
GAD-7,Q4: Trouble relaxing,GAD.?7,"trouble relax|relaxing|Q.?4\y|item.?4\y|question.?4\y"
GAD-7,Q5: Being so restless,GAD.?7,"restless|hard to sit|Q.?5\y|item.?5\y|question.?5\y"
GAD-7,Q6: Easily annoyed or irritable,GAD.?7,"annoyed|irritable|Q.?6\y|item.?6\y|question.?6\y"
GAD-7,Q7: Feeling afraid,GAD.?7,"afraid|something awful|Q.?7\y|item.?7\y|question.?7\y"
PC-PTSD-5,Total Score,PC.?PTSD.?5,"total|sum|overall|composite"
PC-PTSD-5,Q1: Nightmares/unwanted thoughts,PC.?PTSD.?5,"nightmare|thought.*event|Q.?1\y|item.?1\y"
PC-PTSD-5,Q2: Avoidance,PC.?PTSD.?5,"avoid|tried hard not to think|Q.?2\y|item.?2\y"
PC-PTSD-5,Q3: On guard/watchful/startled,PC.?PTSD.?5,"guard|watchful|startled|Q.?3\y|item.?3\y"
PC-PTSD-5,Q4: Numb/detached,PC.?PTSD.?5,"numb|detach|Q.?4\y|item.?4\y"
PC-PTSD-5,Q5: Guilt/blame,PC.?PTSD.?5,"guilt|blam|Q.?5\y|item.?5\y"
AUDIT-C,Total Score,AUDIT.?C,"total|sum|overall|composite"
AUDIT-C,Q1: How often drink alcohol,AUDIT.?C,"how often.*drink|frequency|Q.?1\y|item.?1\y|question.?1\y"
AUDIT-C,Q2: Drinks on typical day,AUDIT.?C,"how many.*drink|typical day|quantity|Q.?2\y|item.?2\y|question.?2\y"
AUDIT-C,"Q3: Six or more drinks on one occasion",AUDIT.?C,"six or more|6 or more|binge|heavy.*drink|Q.?3\y|item.?3\y|question.?3\y"
C-SSRS,Q1: Wish to be dead,"C.?SSRS|columbia.*suicid","wish.*dead|Q.?1\y|item.?1\y|question.?1\y"
C-SSRS,Q2: Non-specific suicidal thoughts,"C.?SSRS|columbia.*suicid","non.?specific|active.*suicidal thought|Q.?2\y|item.?2\y|question.?2\y"
C-SSRS,"Q3: Suicidal ideation with methods (no plan)","C.?SSRS|columbia.*suicid","method.*without|any method|Q.?3\y|item.?3\y|question.?3\y"
C-SSRS,Q4: Suicidal ideation with some intent,"C.?SSRS|columbia.*suicid","some intent|intent.*without.*plan|Q.?4\y|item.?4\y|question.?4\y"
C-SSRS,Q5: Suicidal ideation with plan and intent,"C.?SSRS|columbia.*suicid","specific plan|plan.*intent|Q.?5\y|item.?5\y|question.?5\y"
C-SSRS,Q6: Preparatory acts or behavior,"C.?SSRS|columbia.*suicid","preparat|Q.?6\y|item.?6\y|question.?6\y"
C-SSRS,Intensity: Frequency,"C.?SSRS|columbia.*suicid",frequency
C-SSRS,Intensity: Duration,"C.?SSRS|columbia.*suicid",duration
C-SSRS,Intensity: Controllability,"C.?SSRS|columbia.*suicid",controllabil
C-SSRS,Intensity: Deterrents,"C.?SSRS|columbia.*suicid",deterrent
C-SSRS,Intensity: Reasons,"C.?SSRS|columbia.*suicid",reason
C-SSRS,Suicidal Behavior,"C.?SSRS|columbia.*suicid","suicidal behav|actual attempt|interrupted|aborted|self.?injur"
C-SSRS,Lethality,"C.?SSRS|columbia.*suicid","lethality|medical damage"
PSS-3,Q1: Wished you were dead / not wake up,"PSS.?3|patient safety screener","wish.*dead|not wake up|Q.?1\y|item.?1\y"
PSS-3,Q2: Thoughts of killing yourself,"PSS.?3|patient safety screener","thought.*killing|killing yourself|Q.?2\y|item.?2\y"
PSS-3,Q3: Lifetime suicide attempt,"PSS.?3|patient safety screener","whole life|tried to kill|suicide attempt|lifetime|Q.?3\y|item.?3\y"
PCL-5,Total Score,PCL.?5,"total|sum|overall|composite"
PCL-5,Q1: Disturbing memories,PCL.?5,"disturbing.*memor|unwanted.*memor|repeated.*memor|Q.?1\y|item.?1\y"
PCL-5,Q2: Disturbing dreams,PCL.?5,"disturbing.*dream|repeated.*dream|nightmare|Q.?2\y|item.?2\y"
PCL-5,Q3: Reliving/flashbacks,PCL.?5,"flashback|reliv|as if.*happening again|Q.?3\y|item.?3\y"
PCL-5,Q4: Upset when reminded,PCL.?5,"upset.*remind|very upset|Q.?4\y|item.?4\y"
PCL-5,Q5: Physical reactions when reminded,PCL.?5,"physical react|heart pound|trouble breathing|sweating|Q.?5\y|item.?5\y"
PCL-5,Q6: Avoiding thoughts/feelings,PCL.?5,"avoid.*thought|avoid.*feeling|avoid.*memor|Q.?6\y|item.?6\y"
PCL-5,Q7: Avoiding external reminders,PCL.?5,"avoid.*external|avoid.*activit|avoid.*place|avoid.*people|avoid.*situation|Q.?7\y|item.?7\y"
PCL-5,Q8: Trouble remembering important parts,PCL.?5,"trouble rememb|important part|Q.?8\y|item.?8\y"
PCL-5,Q9: Strong negative beliefs,PCL.?5,"negative belief|no one can be trusted|it.?s all my fault|Q.?9\y|item.?9\y"
PCL-5,Q10: Blaming self or others,PCL.?5,"blaming|blame.*self|blame.*other|Q.?10\y|item.?10\y"
PCL-5,Q11: Strong negative feelings,PCL.?5,"negative feeling|fear|horror|anger|guilt|shame|Q.?11\y|item.?11\y"
PCL-5,Q12: Loss of interest in activities,PCL.?5,"loss.*interest|Q.?12\y|item.?12\y"
PCL-5,Q13: Feeling distant or cut off,PCL.?5,"distant|cut off|Q.?13\y|item.?13\y"
PCL-5,Q14: Trouble experiencing positive feelings,PCL.?5,"positive feeling|unable.*feel|Q.?14\y|item.?14\y"
PCL-5,Q15: Irritable/angry/aggressive,PCL.?5,"irritabl|angry|aggressiv|Q.?15\y|item.?15\y"
PCL-5,Q16: Taking too many risks,PCL.?5,"risk|reckless|self.?destruct|Q.?16\y|item.?16\y"
PCL-5,Q17: Superalert/watchful/on guard,PCL.?5,"superalert|watchful|on guard|hypervigilant|Q.?17\y|item.?17\y"
PCL-5,Q18: Jumpy or easily startled,PCL.?5,"jumpy|startled|Q.?18\y|item.?18\y"
PCL-5,Q19: Difficulty concentrating,PCL.?5,"concentrat|Q.?19\y|item.?19\y"
PCL-5,Q20: Trouble falling/staying asleep,PCL.?5,"sleep|Q.?20\y|item.?20\y"
EPDS,Total Score,"\yEPDS\y|edinburgh.*(postnatal|postpartum)","total|sum|overall|composite"
EPDS,Q1: Able to laugh/see funny side,"\yEPDS\y|edinburgh.*(postnatal|postpartum)","laugh|funny side|Q.?1\y|item.?1\y"
EPDS,Q2: Looked forward with enjoyment,"\yEPDS\y|edinburgh.*(postnatal|postpartum)","looked forward|enjoyment|Q.?2\y|item.?2\y"
EPDS,Q3: Blamed myself unnecessarily,"\yEPDS\y|edinburgh.*(postnatal|postpartum)","blamed myself|unnecessarily|Q.?3\y|item.?3\y"
EPDS,Q4: Anxious or worried for no reason,"\yEPDS\y|edinburgh.*(postnatal|postpartum)","anxious|worried.*no.*reason|Q.?4\y|item.?4\y"
EPDS,Q5: Scared or panicky,"\yEPDS\y|edinburgh.*(postnatal|postpartum)","scared|panicky|Q.?5\y|item.?5\y"
EPDS,Q6: Things getting on top of me,"\yEPDS\y|edinburgh.*(postnatal|postpartum)","getting on top|Q.?6\y|item.?6\y"
EPDS,Q7: So unhappy/difficulty sleeping,"\yEPDS\y|edinburgh.*(postnatal|postpartum)","unhappy.*sleep|difficulty sleep|Q.?7\y|item.?7\y"
EPDS,Q8: Felt sad or miserable,"\yEPDS\y|edinburgh.*(postnatal|postpartum)","sad|miserable|Q.?8\y|item.?8\y"
EPDS,Q9: So unhappy/been crying,"\yEPDS\y|edinburgh.*(postnatal|postpartum)","crying|Q.?9\y|item.?9\y"
EPDS,Q10: Thought of harming myself,"\yEPDS\y|edinburgh.*(postnatal|postpartum)","harming myself|self.?harm|Q.?10\y|item.?10\y"
CES-D,Total Score,CES.?D,"total|sum|overall|composite"
CES-D,Q1: Bothered by things,CES.?D,"bothered|Q.?1\y|item.?1\y"
CES-D,Q2: Poor appetite,CES.?D,"appetite|Q.?2\y|item.?2\y"
CES-D,Q3: Could not shake off the blues,CES.?D,"shake off|blues|Q.?3\y|item.?3\y"
CES-D,Q4: Felt just as good as others,CES.?D,"just as good|Q.?4\y|item.?4\y"
CES-D,Q5: Trouble keeping mind on tasks,CES.?D,"trouble keep.*mind|Q.?5\y|item.?5\y"
CES-D,Q6: Felt depressed,CES.?D,"felt depressed|Q.?6\y|item.?6\y"
CES-D,Q7: Everything was an effort,CES.?D,"effort|Q.?7\y|item.?7\y"
CES-D,Q8: Felt hopeful about the future,CES.?D,"hopeful|future|Q.?8\y|item.?8\y"
CES-D,Q9: Life had been a failure,CES.?D,"life.*failure|Q.?9\y|item.?9\y"
CES-D,Q10: Felt fearful,CES.?D,"fearful|Q.?10\y|item.?10\y"
CES-D,Q11: Restless sleep,CES.?D,"restless.*sleep|sleep.*restless|Q.?11\y|item.?11\y"
CES-D,Q12: Was happy,CES.?D,"was happy|i was happy|Q.?12\y|item.?12\y"
CES-D,Q13: Talked less than usual,CES.?D,"talked less|Q.?13\y|item.?13\y"
CES-D,Q14: Felt lonely,CES.?D,"lonely|Q.?14\y|item.?14\y"
CES-D,Q15: People were unfriendly,CES.?D,"unfriendly|Q.?15\y|item.?15\y"
